time,prediction,prediction_tau,idle,transmit
0,12,3,-0.0237614,-0.0674617
0,12,4,-0.0208942,0.0235894
0,12,5,-0.02481,-0.0253888
0,12,6,-0.0225589,-0.0252079
0,12,7,-0.0201029,-0.0333961
0,12,8,-0.0162431,-0.01659
0,12,9,-0.0130761,-0.0472188
0,12,10,-0.0098002,0.01437
0,12,11,-0.00645661,-0.0395996
0,12,12,-0.00300218,0.00205754
0,12,13,0.000672372,0.00218831
0,12,14,0.00454519,-0.0412378
0,12,15,0.00831739,-0.0226978
0,12,16,0.0116155,-0.0473428
0,12,17,0.0131213,-0.0306011
0,12,18,0.0150032,-0.0289871
0,12,19,0.013386,-0.0544413
0,12,20,0.0180445,0.0303878
0,12,21,0.00964661,0.00651903
0,12,22,0.00562488,0.0126358
0,12,23,0.0114931,-0.0262188
0,12,24,0.0103306,0.021524
0,12,25,0.00401351,0.00673184
0,13,0,-0.00768987,0.0122766
0,13,1,-0.010032,-0.00726772
0,13,2,-0.02097,-0.0463681
0,13,3,-0.0196525,0.00438712
0,13,4,-0.020415,0.00887558
0,13,5,-0.0188108,0.0253141
0,13,6,-0.0141375,-0.0165945
0,13,7,-0.0157679,0.0172253
0,13,8,-0.0137683,-0.0129149
0,13,9,-0.011646,-0.0114072
0,13,10,-0.00836832,-0.0331843
0,13,11,-0.00510778,0.0130554
0,13,12,-0.0023894,0.017928
0,13,13,-1.36616e-05,-0.0503844
0,13,14,0.00307915,-0.0231236
0,13,15,0.0065149,0.0352775
0,13,16,0.0104074,0.0240905
0,13,17,0.0132613,-0.0487228
0,13,18,0.0123509,0.024317
0,13,19,0.0154234,0.0345878
0,13,20,0.0140824,0.0140006
0,13,21,0.015306,0.00939742
0,13,22,0.0141456,-0.00696304
0,13,23,0.00363047,-0.000897013
0,13,24,0.00361464,0.0281556
0,13,25,0.0122393,-0.00786566
0,14,0,-0.0111417,-0.00929225
0,14,1,-0.00377767,-0.00456363
0,14,2,-0.00671674,0.0163456
0,14,3,-0.0165165,0.0139967
0,14,4,-0.015072,-0.0198773
0,14,5,-0.0144012,0.0075079
0,14,6,-0.0116196,0.0127174
0,14,7,-0.0126477,0.0253744
0,14,8,-0.0116087,-0.00537863
0,14,9,-0.00721703,0.0702844
0,14,10,-0.00825387,0.0396281
0,14,11,-0.00402531,-0.012334
0,14,12,-0.00174225,0.0369746
0,14,13,0.00065496,0.0510018
0,14,14,0.00261225,-0.0252952
0,14,15,0.00569746,0.0236227
0,14,16,0.00815276,0.00770247
0,14,17,0.0110628,0.0185606
0,14,18,0.0070349,-0.0350346
0,14,19,0.0113207,0.0201236
0,14,20,0.00961404,-0.0361919
