time,prediction,prediction_tau,idle,transmit
0,7,20,0.00403359,-0.179175
0,7,21,0.00693068,-0.221993
0,7,22,0.00284348,-0.0865635
0,7,23,0.00632684,-0.0882694
0,7,24,0.00167171,-0.012552
0,7,25,0.00183392,-0.0323164
0,7,26,0.00648628,-0.0821503
0,7,27,0,0
0,7,28,0,0
0,7,29,0,0
0,7,30,0,0
0,8,0,-0.0545758,-0.28959
0,8,1,-0.0497333,-0.313313
0,8,2,-0.0471804,-0.268938
0,8,3,-0.0448451,-0.326354
0,8,4,-0.0412798,-0.291847
0,8,5,-0.0384691,-0.29871
0,8,6,-0.0359847,-0.335144
0,8,7,-0.0329346,-0.326439
0,8,8,-0.0303899,-0.317436
0,8,9,-0.0274195,-0.302333
0,8,10,-0.0245719,-0.325915
0,8,11,-0.0215124,-0.300648
0,8,12,-0.0181132,-0.293658
0,8,13,-0.0156321,-0.317941
0,8,14,-0.0122479,-0.315956
0,8,15,-0.0093942,-0.286968
0,8,16,-0.00652495,-0.282532
0,8,17,-0.00390246,-0.322754
0,8,18,0.000514075,-0.332536
0,8,19,0.00316451,-0.262965
0,8,20,0.00589314,-0.22993
0,8,21,0.00747191,-0.231132
0,8,22,0.00665276,-0.128265
0,8,23,0.0107442,-0.190852
0,8,24,0.00827603,-0.113511
0,8,25,0.00203512,-0.0150827
0,8,26,0.00441382,-0.0443819
0,8,27,0.00262203,-0.0272591
0,8,28,0.00543402,-0.0679949
0,8,29,0,0
0,8,30,0,0
0,9,0,-0.0322524,-0.158868
0,9,1,-0.0294506,-0.121689
0,9,2,-0.0393766,-0.243405
0,9,3,-0.0434872,-0.267659
0,9,4,-0.0413965,-0.270917
0,9,5,-0.0383737,-0.264974
0,9,6,-0.0351725,-0.281227
0,9,7,-0.0323421,-0.297617
0,9,8,-0.029849,-0.255418
0,9,9,-0.0267522,-0.2607
0,9,10,-0.0234929,-0.308047
0,9,11,-0.0215185,-0.323375
0,9,12,-0.0179958,-0.274042
0,9,13,-0.0139867,-0.242946
0,9,14,-0.0120813,-0.293853
0,9,15,-0.00850684,-0.257732
0,9,16,-0.00483298,-0.305802
0,9,17,-0.00202035,-0.290339
0,9,18,0.00114485,-0.261024
0,9,19,0.00375925,-0.273298
0,9,20,0.00727956,-0.24162
0,9,21,0.00949382,-0.221256
0,9,22,0.0104595,-0.194654
0,9,23,0.0112862,-0.136596
0,9,24,0.0111647,-0.120215
0,9,25,0.0163369,-0.179387
0,9,26,0.0155358,-0.137434
0,9,27,0.00487761,-0.0640343
0,9,28,0.00534447,-0.0547961
0,9,29,0.00603387,-0.0264027
0,9,30,0.0102166,-0.0488099
0,10,0,-0.0484317,-0.20446
0,10,1,-0.0380677,-0.144087
0,10,2,-0.0403339,-0.199169
0,10,3,-0.0367733,-0.178971
0,10,4,-0.0382409,-0.189296
0,10,5,-0.0368085,-0.270981
0,10,6,-0.0345946,-0.234216
0,10,7,-0.0314221,-0.245235
0,10,8,-0.0289065,-0.275334
0,10,9,-0.0253688,-0.238115
0,10,10,-0.0227994,-0.216604
0,10,11,-0.0202377,-0.263157
0,10,12,-0.0168541,-0.21925
0,10,13,-0.0136612,-0.235503
0,10,14,-0.010583,-0.262513
0,10,15,-0.00738483,-0.284012
0,10,16,-0.00448421,-0.269331
0,10,17,-0.0012288,-0.184137
0,10,18,0.00201236,-0.225521
0,10,19,0.00507063,-0.24165
0,10,20,0.00761469,-0.240258
0,10,21,0.0108019,-0.219246
0,10,22,0.0136106,-0.228552
0,10,23,0.0166226,-0.252558
0,10,24,0.0194293,-0.204984
0,10,25,0.0203104,-0.197229
0,10,26,0.0222929,-0.219898
0,10,27,0.0191623,-0.0927554
0,10,28,0.0118036,-0.0771294
0,10,29,0.0165861,-0.118159
0,10,30,0,0
0,11,0,-0.0291915,-0.0861404
0,11,1,-0.0149191,-0.0578962
0,11,2,-0.0287702,-0.0915196
0,11,3,-0.0271812,-0.134222
