time,prediction,prediction_tau,idle,transmit
0,2,16,-0.0117045,-0.45223
0,2,17,-0.0155594,-0.511725
0,2,18,-0.00418639,-0.244255
0,2,19,0,0
0,2,20,0,0
0,2,21,0,0
0,2,22,-0.00251429,-0.213872
0,2,23,0,0
0,2,24,0,0
0,2,25,0,0
0,2,26,0,0
0,2,27,0,0
0,2,28,0,0
0,2,29,0,0
0,2,30,0,0
0,2,31,0,0
0,2,32,0,0
0,2,33,0,0
0,2,34,0,0
0,2,35,0,0
0,2,36,0,0
0,2,37,0,0
0,2,38,0,0
0,2,39,0,0
0,2,40,0,0
0,3,0,-0.0634937,-0.545215
0,3,1,-0.0610633,-0.580056
0,3,2,-0.0588798,-0.549013
0,3,3,-0.0563865,-0.568493
0,3,4,-0.054296,-0.567205
0,3,5,-0.0520636,-0.588232
0,3,6,-0.0496902,-0.575134
0,3,7,-0.0476099,-0.579697
0,3,8,-0.0448811,-0.580617
0,3,9,-0.0431199,-0.569228
0,3,10,-0.0407905,-0.574871
0,3,11,-0.0387226,-0.553793
0,3,12,-0.036462,-0.574751
0,3,13,-0.0343165,-0.55379
0,3,14,-0.0319745,-0.590134
0,3,15,-0.029877,-0.5858
0,3,16,-0.027474,-0.555328
0,3,17,-0.0254185,-0.547206
0,3,18,-0.0231449,-0.575682
0,3,19,-0.0174362,-0.580523
0,3,20,-0.0177115,-0.599749
0,3,21,-0.0128373,-0.568221
0,3,22,-0.00453201,-0.362889
0,3,23,-0.00182875,-0.227631
0,3,24,0,0
0,3,25,0,0
0,3,26,-0.000832174,-0.237325
0,3,27,0,0
0,3,28,0,0
0,3,29,0,0
0,3,30,0,0
0,3,31,0,0
0,3,32,0,0
0,3,33,0,0
0,3,34,0,0
0,3,35,0,0
0,3,36,0,0
0,3,37,0,0
0,3,38,0,0
0,3,39,0,0
0,3,40,0,0
0,4,0,-0.0634307,-0.569881
0,4,1,-0.0611508,-0.546782
0,4,2,-0.0584743,-0.559425
0,4,3,-0.0564199,-0.557228
0,4,4,-0.0540408,-0.536256
0,4,5,-0.0516572,-0.551297
0,4,6,-0.0496722,-0.572145
0,4,7,-0.0471622,-0.55859
0,4,8,-0.0450656,-0.579658
0,4,9,-0.0429514,-0.557254
0,4,10,-0.0409537,-0.577573
0,4,11,-0.0384742,-0.575641
0,4,12,-0.0361435,-0.552592
0,4,13,-0.0341476,-0.549919
0,4,14,-0.0317722,-0.580365
0,4,15,-0.0297095,-0.580936
0,4,16,-0.027441,-0.5685
0,4,17,-0.0253871,-0.569622
0,4,18,-0.0231267,-0.548205
0,4,19,-0.020864,-0.540498
0,4,20,-0.0186672,-0.590631
0,4,21,-0.016555,-0.528996
0,4,22,-0.0130809,-0.566678
0,4,23,-0.0103197,-0.566984
0,4,24,-0.00277401,-0.345227
0,4,25,-0.00139472,-0.175876
0,4,26,-0.000848919,-0.244848
0,4,27,0,0
0,4,28,-0.000276033,-0.244848
0,4,29,0,0
0,4,30,0,0
0,4,31,0,0
0,4,32,0,0
0,4,33,0,0
0,4,34,0,0
0,4,35,0,0
0,4,36,0,0
0,4,37,0,0
0,4,38,0,0
0,4,39,0,0
0,4,40,0,0
0,5,0,-0.0634302,-0.552993
0,5,1,-0.0611285,-0.522567
0,5,2,-0.0585774,-0.551437
0,5,3,-0.0568793,-0.550079
0,5,4,-0.0544679,-0.562464
0,5,5,-0.0522327,-0.533624
0,5,6,-0.0498893,-0.538239
0,5,7,-0.0476072,-0.547705
0,5,8,-0.0454998,-0.585864
0,5,9,-0.0433814,-0.516428
0,5,10,-0.0407069,-0.542981
0,5,11,-0.0387645,-0.56402
0,5,12,-0.0367478,-0.529572
0,5,13,-0.0342117,-0.598637
0,5,14,-0.0320427,-0.551223
0,5,15,-0.0297447,-0.570256
0,5,16,-0.0273959,-0.557819
0,5,17,-0.0251797,-0.542075
0,5,18,-0.0228898,-0.573436
0,5,19,-0.0206604,-0.54784
0,5,20,-0.017345,-0.555279
0,5,21,-0.00994943,-0.484605
0,5,22,-0.00949479,-0.496774
0,5,23,-0.00386533,-0.317987
0,5,24,-0.00432136,-0.441312
0,5,25,0,0
0,5,26,0,0
0,5,27,0,0
0,5,28,0,0
0,5,29,0,0
0,5,30,0,0
0,5,31,0,0
0,5,32,0,0
0,5,33,0,0
0,5,34,0,0
0,5,35,0,0
0,5,36,0,0
0,5,37,0,0
0,5,38,0,0
0,5,39,0,0
0,5,40,0,0
0,6,0,-0.0578676,-0.495455
0,6,1,-0.0525578,-0.499757
0,6,2,-0.0506205,-0.494663
